Kunta,Latitude,Longitude
Pori,61.483726303,21.795900114
Pornainen,60.47689845,25.372932372
Porvoo,60.395371935,25.666559544
Posio,66.109736985,28.173906419
Pudasjärvi,65.36094712,26.999243541
Pukkila,60.645352853,25.580407556
Punkalaidun,61.113272934,23.100542189
Puolanka,64.868658767,27.669071121
Puumala,61.521855331,28.179971761
Pyhtää,60.492210487,26.544880023
Pyhäjoki,64.465163558,24.259197182
Pyhäjärvi,63.681835448,25.985775658
Pyhäntä,64.099460341,26.329977857
Pyhäranta,60.948266485,21.440934529
Pälkäne,61.336821181,24.270409233
Pöytyä,60.721369364,22.599537679
Raahe,64.687734335,24.478273101
Raasepori,59.974552922,23.43622808
Raisio,60.486079651,22.171068833
Rantasalmi,62.063413397,28.304229966
Ranua,65.927505623,26.518416699
Rauma,61.128737875,21.511126919
Rautalampi,62.621137137,26.835420999
Rautavaara,63.494210301,28.298223078
Rautjärvi,61.433471798,29.36791525
Reisjärvi,63.604386795,24.937851054
Riihimäki,60.736737225,24.775321449
Ristijärvi,64.505096191,28.211768863
Rovaniemi,66.502790259,25.728478856
Ruokolahti,61.292264125,28.815799538
Ruovesi,61.984488222,24.068811837
Rusko,60.542439512,22.222515059
Rääkkylä,62.312677024,29.626058461
Saarijärvi,62.705523683,25.253902
Salla,66.830971278,28.669933096
Salo,60.384373601,23.126727127
Saltvik,60.275214843,20.059115249
Sastamala,61.340225146,22.906437534
Sauvo,60.344506715,22.691750338
Savitaipale,61.198742149,27.686019135
Savonlinna,61.869802657,28.87849829
Savukoski,67.292004821,28.164370823
Seinäjoki,62.786662897,22.842279603
Sievi,63.906281167,24.521156852
Siikainen,61.877660372,21.823140984
Siikajoki,64.663838767,25.103293299
Siikalatva,64.27203017,25.863775714
Siilinjärvi,63.073664705,27.659698525
Simo,65.661270047,25.062297166
Sipoo,60.376856973,25.268516114
Siuntio,60.138017546,24.224863347
Sodankylä,67.414920225,26.590673697
Soini,62.87297229,24.210173232
Somero,60.628290724,23.517691265
Sonkajärvi,63.669163025,27.523742906
Sotkamo,64.13202497,28.387689851
Sottunga,60.1299875,20.667418704
Sulkava,61.789726328,28.378042315
Sund,60.250200171,20.116293532
Suomussalmi,64.883821118,28.904794739
Suonenjoki,62.623037446,27.127576934
Sysmä,61.503771936,25.68370291
Säkylä,61.048361211,22.336785897
Taipalsaari,61.161330352,28.057579346
Taivalkoski,65.576252124,28.240598067
Taivassalo,60.561807633,21.611197663
Tammela,60.808134311,23.760277513
Tampere,61.49774257,23.761290078
Tervo,62.95214524,26.753932331
Tervola,66.087024017,24.81106439
Teuva,62.484761491,21.747190967
Tohmajärvi,62.226235418,30.333057263
Toholampi,63.771687856,24.250504148
Toivakka,62.097929789,26.082544741
Tornio,65.84973018,24.144091609
Turku,60.451690351,22.266866666
Tuusniemi,62.812406598,28.488250625
Tuusula,60.402369377,25.025142036
Tyrnävä,64.763363971,25.652633446
Ulvila,61.432652934,21.888033305
Urjala,61.081131717,23.549311266
Utajärvi,64.76169558,26.416907969
Utsjoki,69.907828523,27.026541275
Uurainen,62.50080639,25.438518873
Uusikaarlepyy,63.523125804,22.530086009
Uusikaupunki,60.801207736,21.407727115
Vaala,64.560942154,26.840673725
Vaasa,63.092588875,21.615874122
Valkeakoski,61.270053249,24.029248502
Valtimo,63.680306323,28.813705084
Vantaa,60.298133721,25.006641332
Varkaus,62.313950665,27.888587335
Vehmaa,60.685902746,21.712512133
Vesanto,62.93103044,26.412849105
Vesilahti,61.305583862,23.627636445
Veteli,63.475287314,23.78862512
Vieremä,63.744069514,27.005160452
Vihti,60.416791924,24.319858395
Viitasaari,63.082792009,25.855167908
Vimpeli,63.161927977,23.820600738
Virolahti,60.582071101,27.708871595
Virrat,62.23848456,23.773747693
Vårdö,60.244351018,20.375338092
Vöyri,63.132068002,22.252456379
Ylitornio,66.323044983,23.673012317
Ylivieska,64.072284496,24.533690188
Ylöjärvi,61.55715602,23.596580124
Ypäjä,60.805227741,23.272438379
Ähtäri,62.55285929,24.075018434
Äänekoski,62.603307432,25.72483135
